term,entropy
마계 ##기사,2.705202072824596
이야기 ##하,2.7030001717846317
치료 ##받,2.7021329954232236
이륙 ##하,2.7016719942781298
불러 ##주,2.7012282098397495
달래 ##주,2.700554787120116
제출 ##하,2.700425656118858
추궁 ##하,2.7000503710494606
프로 ##야구,2.699663551636654
기분 ##이,2.6994640662939124
약 ##공격,2.698594603652042
성인 ##이,2.6984984111511783
인천 ##국제공항,2.6982186968032464
네크로 ##맨서,2.6981828450198426
끼워 ##넣,2.698093285363012
물 ##공,2.698009739371903
커 ##뮤,2.6979824856407184
완성 ##하,2.6975956418273195
근접 ##공격,2.696682195902316
무 ##승,2.695907554945983
합류 ##하,2.695657961973991
즐 ##겜,2.6956082006893283
대표 ##이사,2.6951242241238096
동물 ##이,2.694563507148673
해 ##주,2.6938780052407405
삐 ##에로,2.6934944674139034
한국 ##이,2.6927350391246865
영광 ##이,2.692581382593532
대통령 ##이,2.6923890627571203
양보 ##하,2.6915875223201158
편해 ##지,2.691226479325299
메 ##딕,2.6902549449902033
받 ##아 ##보,2.6895984409699776
찍 ##먹,2.689535773467994
받 ##아 ##먹,2.68919975178831
미국 ##이,2.688596277633017
목숨 ##이,2.6884301203116836
선 ##이,2.687996250764019
대답 ##하,2.6876717144768376
진압 ##하,2.687046389976658
제라 ##툴,2.686928713391969
촬영 ##하,2.6867483953146216
대피 ##하,2.686641330830124
사립 ##학교,2.686596702192172
기계 ##생명체,2.6852763118423426
귀신 ##이,2.6844431001587905
진출 ##자,2.683895891667564
퇴마 ##사,2.6838297928047656
안 ##맞,2.6827863191421546
학생 ##회장,2.680347253090323
수색 ##하,2.679901237517027
급 ##성,2.6795438589689793
왕자 ##님,2.6789026419971464
답 ##하,2.6788432778020463
맵 ##병기,2.678561493745223
자동 ##이,2.6771429629212617
착수 ##하,2.6770169341501378
쇼 ##미 ##더 ##머니,2.6770140008053254
다 ##문화,2.6765717978831125
되 ##있,2.676239321444474
기본 ##공격,2.676082003968327
홀 ##딩기,2.675909336941769
대 ##폭발,2.675707565656332
김 ##씨,2.675506224826617
사과 ##하,2.675151230974761
남 ##캐,2.6748233195074635
명령 ##하,2.6739075273873274
암 ##즈,2.6738224145756293
사 ##천,2.673258489350865
중심 ##이,2.6728089239861
내려 ##주,2.6726929967530717
취소 ##하,2.6723898822378107
건설 ##하,2.6723219393164777
선물 ##하,2.6716613797379085
조 ##씨,2.671412640799593
만렙 ##이,2.6703478336837962
배 ##그,2.670270562844863
믹 ##싱,2.670153353468806
노 ##잼,2.6697990771964077
남자 ##친구,2.6687877969638714
선물 ##이,2.6685181502380444
수정 ##하,2.6679807716830726
미 ##로,2.6679287127355407
이 ##그,2.6677118237137427
알 ##바,2.666386174129399
아 ##프로,2.666141934570928
중위 ##권,2.666106185432015
히트 ##스캔,2.6660651445191097
확장 ##하,2.665860290945684
밖 ##이,2.6655661650481326
무장 ##해제,2.665394159983386
빠져 ##나오,2.664677168627438
동맹 ##이,2.664646209407146
횡 ##성,2.664531613310231
공격 ##형,2.6641732109338876
변호 ##하,2.664087097055297
막혀 ##있,2.6639441705066873
시간 ##문제,2.6637716569586742
조성 ##하,2.6627348180327273
남자 ##아이,2.6625039116690563
유치 ##하,2.662474156411812
슈 ##아,2.6624454629851244
생일 ##이,2.6621737185377303
선생 ##님,2.6618072429432993
기아 ##자동차,2.6613605984224247
내 ##가,2.6613480555248343
미드 ##라이너,2.660932902632684
슈퍼 ##히어로,2.660856425263103
납치 ##하,2.6604522815288174
제공 ##자,2.659887018853947
영입 ##하,2.6596258390832888
무법 ##지대,2.6595346636690937
개판 ##이,2.65921500813947
전진 ##하,2.659070554190369
메인 ##스토리,2.6589693587991254
엔터 ##테 ##인 ##먼 ##트,2.6588013048119716
되 ##지 ##않,2.6577074867651875
도착 ##하,2.6574481277933857
마이 ##페이스,2.657092983121147
저승 ##사자,2.657054703460129
방 ##깎,2.6562229564334245
스카웃 ##하,2.6557253867257544
팬 ##픽,2.6555416441883386
방 ##이,2.6555019312043204
영화 ##화,2.655307833388692
팩 ##트,2.655280614800871
일반인 ##이,2.6550632144166477
성향 ##이,2.6550293481760177
고용 ##하,2.6548667106043995
건 ##이,2.654053753513011
저항 ##하,2.6540467823229004
블 ##레이더,2.6532426661742994
비 ##매너,2.653091057382131
수행 ##하,2.652606996382846
철 ##이,2.652587534720148
맞 ##아 ##주,2.652155036680919
알려 ##주,2.652077878581021
나무 ##꾼,2.651863751982389
프로 ##레슬러,2.6516588752184167
탱 ##킹,2.6515766349528316
건 ##프라,2.6513368466333964
포유 ##류,2.651273878925189
조연 ##이,2.6505407303448107
있 ##는 ##거,2.650482704063997
극단 ##적 ##이,2.650397161543591
아가씨 ##들,2.6499487930019865
수용 ##하,2.6493632134803144
신입 ##사원,2.649334648220397
바바리 ##안,2.648949738309175
한 ##개,2.648850754927802
수 ##가,2.6487315973232626
최 ##약체,2.6484285181685014
라인 ##이,2.6484277029033882
검 ##병,2.6483780103774097
반격 ##하,2.6482031314338745
택지 ##지구,2.647793537274036
복 ##붙,2.647641773704338
롱 ##잡,2.647491595683105
체육 ##대회,2.6473448916915108
기관 ##단총,2.6471041236214337
보조 ##무기,2.646683471257384
장 ##이,2.6460248667927972
아군 ##이,2.6459691250270456
남 ##아 ##있,2.6459195949976917
칸 ##무스,2.645886943581357
근접 ##무기,2.645649387813463
격추 ##하,2.6454699488859554
개 ##캐,2.645365010480067
버 ##서커,2.645276453759895
지켜 ##주,2.645270100953397
율 ##하,2.6451750195634944
인생 ##이,2.6447858849278107
마스터 ##리,2.644498127415389
대 ##악마,2.644351553291653
우호 ##적 ##이,2.6439517249390403
지켜 ##내,2.643565510550028
수 ##의,2.643289521426955
그 ##라쉬,2.642422345517365
재현 ##하,2.641157111849212
사기 ##캐,2.6411402701512916
되 ##어 ##주,2.641076693337801
딸 ##바보,2.6409469170795963
귀 ##화,2.6409094429214175
인사 ##하,2.6403374475687245
와 ##이번,2.639648689008986
선택 ##하,2.6396385320248252
한 ##대,2.6396270970823745
엠 ##브리오,2.6393360706731412
천 ##년,2.6386247293128013
녀석 ##들,2.638253981705739
나눠 ##먹,2.6378786289704723
몸 ##빵,2.637864343860289
대 ##마법사,2.637821927475739
구멍 ##이,2.637602324305255
크로 ##노,2.6374304263309423
뎀 ##딜,2.6373055292165883
땜 ##빵,2.637232689915476
우승 ##하,2.636763080614027
이룩 ##하,2.6367363007691385
떨어져 ##있,2.6367362104606715
수습 ##하,2.6365062382575424
다크 ##나이츠,2.6354875829844877
재 ##편성,2.6354601653063185
어 ##레인지,2.635280892439427
검 ##성,2.6352635798915176
끔 ##살,2.6347945036815346
여자 ##친구,2.6345517562705965
임명 ##하,2.6343845963211034
또 ##봇,2.633873395140219
한 ##장,2.6335356635052922
성공 ##하,2.633276649571895
칠 ##곡,2.6322030889864925
이 ##레귤러,2.6319375329175347
피 ##탄,2.6314053315696904
고급 ##화,2.631337528027333
승리 ##하,2.631110875675424
상향 ##이,2.630620505069867
하 ##베스터,2.630525222456277
야생 ##동물,2.6302915589288256
오랜만 ##이,2.6302259649113577
울트라 ##리스크,2.630083155431067
해결 ##하,2.6291397086620396
이 ##어 ##나가,2.6290729435032962
멘탈 ##붕괴,2.6287422372441895
탐사 ##하,2.6285294538171793
재 ##장전,2.628389066595234
채워 ##넣,2.6283021124538095
해 ##오,2.627906299807855
사냥 ##꾼,2.6278048300575754
스페셜 ##리스트,2.6275276441340933
탄핵 ##하,2.626707724428123
준비 ##하,2.6265158642791087
최강 ##캐,2.626164786467234
예능 ##이,2.6258602123209163
무적 ##이,2.6254772302102993
과학 ##수사,2.6250481587325396
중기 ##병,2.6246925716757317
추격 ##하,2.6244193609797244
결정 ##하,2.6241972199853763
피해 ##가,2.624192756147874
포획 ##하,2.6239680429185572
가담 ##하,2.6237427603583767
파워 ##업,2.6236562518040385
공립 ##학교,2.6235217562718085
식 ##재료,2.623307818815815
울트라 ##비스트,2.6232701503639797
희망 ##이,2.623257091552317
내부 ##고발자,2.623124347377669
비밀 ##병기,2.622996276085791
논의 ##하,2.622194451522225
사이 ##어인,2.6211300692651522
전념 ##하,2.6208000971529555
불 ##이,2.6205393066992193
비밀 ##이,2.6204915891749216
끊 ##어 ##주,2.6204657119206733
절대 ##평가,2.6191726699321864
신 ##인류,2.619003598086763
별 ##이,2.6186138087137807
혼내 ##주,2.6185347948400532
지원 ##형,2.618282476273684
거짓 ##이,2.618186793077842
피곤 ##하,2.6176465077853517
챔피언 ##이,2.617333957286927
도입 ##하,2.6171516680165885
굿 ##즈,2.6162914085571725
의뢰 ##하,2.6162025224906693
도전 ##하,2.6152873499424403
잘라 ##내,2.6148849004805044
