term,entropy
##기 ##라는,4.466943559206174
##들 ##끼리,4.4666354973445195
##계 ##는,4.466430718638392
##하 ##려다가,4.463351616295824
##론 ##을,4.462713812509461
##쪽 ##의,4.461316095879263
##되 ##었 ##다면,4.461293654411493
##적 ##이 ##라,4.460773849874887
##스킬 ##을,4.460071773468365
##활동 ##을,4.459055750046707
##하 ##라,4.45652274589336
##해 ##버리 ##고,4.4538302983873885
##중 ##의,4.453703561655679
##번 ##은,4.452532855896363
##즈 ##가,4.452006149422597
##당하 ##기,4.450347311745741
##시 ##가,4.449603667061234
##시 ##에,4.447974853929965
##작업 ##을,4.446801691102581
##형 ##은,4.445843349801583
##이 ##더라도,4.444152524218642
##였 ##다면,4.441747369152417
##이 ##면서 ##도,4.441638186068771
##들 ##보다 ##는,4.4373954734530665
##씨 ##가,4.436696444879299
##되 ##나,4.433773381459072
##자 ##를,4.432945113197101
##전 ##에서 ##도,4.430907109626972
##지역 ##으로,4.430496566777053
##일 ##은,4.428812525579634
##등 ##에서,4.428685309553545
##군 ##은,4.428583574381695
##모드 ##를,4.425264914145536
##되 ##는 ##게,4.424313238688465
##되 ##기 ##는,4.422459806038907
##한 ##걸,4.421256213623044
##즈 ##의,4.421051572426767
##적 ##이 ##라고,4.420938637432509
##덱 ##에,4.420104401854308
##명 ##으로,4.419772724650114
##하 ##였 ##기 ##에,4.419719437604852
##받 ##고,4.417891559794981
##이 ##였으나,4.413399542843885
##함 ##에 ##도,4.413128128704475
##한테 ##도,4.41294888774891
##성 ##에서,4.412068122998861
##한테 ##는,4.411697664662798
##위 ##에서,4.411509606267264
##측 ##에,4.410765232469418
##이 ##였 ##지만,4.409546717225543
##는 ##건,4.4094054968624405
##후 ##에,4.407895883292094
##했 ##으면,4.406659260511515
##들 ##만 ##이,4.402958971008806
##기능 ##이,4.399685460617442
##덱 ##을,4.398754706449469
##병 ##이,4.398112525270291
##등 ##과,4.3967352920604705
##모드 ##가,4.392704856113411
##일 ##때,4.392082082166107
##되 ##었 ##음 ##을,4.3898439568351675
##영상 ##을,4.389813151344401
##거리 ##가,4.389540467417951
##공격 ##을,4.387998493184182
##인 ##을,4.386980760296979
##하 ##고서,4.386221143783507
##경기 ##에,4.3837720871723995
##풍 ##의,4.383757538437298
##로 ##까지,4.383527814284314
##되 ##었 ##는지,4.383429437183859
##화 ##되 ##어,4.380850064493841
##하 ##라며,4.3807088961114236
##시키 ##며,4.380273410395245
##전 ##에,4.379326956068568
##값 ##을,4.378664153596267
##하 ##더니,4.37191534958963
##하 ##다며,4.3709843866103375
##해 ##줘야,4.369330168975957
##시 ##에서,4.369003797190894
##판 ##은,4.368880311465988
